id;nome_curso;descricao_curso;data_criacao
1;Goiás Alameda Rodovia;../fake-data/blob/hipster.txt;2021-05-10
2;Pizza invoice marinho;../fake-data/blob/hipster.txt;2021-05-10
3;SSL Chapéu;../fake-data/blob/hipster.txt;2021-05-10
4;convergence Operations;../fake-data/blob/hipster.txt;2021-05-10
5;Teclado Paquistão multi-byte;../fake-data/blob/hipster.txt;2021-05-10
6;Pequeno Guiana;../fake-data/blob/hipster.txt;2021-05-10
7;leading Algodão withdrawal;../fake-data/blob/hipster.txt;2021-05-10
8;Lindo payment;../fake-data/blob/hipster.txt;2021-05-10
9;Loan;../fake-data/blob/hipster.txt;2021-05-10
10;Tocantins;../fake-data/blob/hipster.txt;2021-05-10
