id;nome_turma;data_criaca;observacoes
1;Kwanza;2021-05-09;../fake-data/blob/hipster.txt
2;intelligence e-services Investment;2021-05-10;../fake-data/blob/hipster.txt
3;Solutions Travessa;2021-05-10;../fake-data/blob/hipster.txt
4;Genérico Response;2021-05-10;../fake-data/blob/hipster.txt
5;Sudanese;2021-05-10;../fake-data/blob/hipster.txt
6;Cape Regional Pequeno;2021-05-10;../fake-data/blob/hipster.txt
7;alarm;2021-05-10;../fake-data/blob/hipster.txt
8;Jóias;2021-05-10;../fake-data/blob/hipster.txt
9;state;2021-05-10;../fake-data/blob/hipster.txt
10;Refinado Automotivo;2021-05-10;../fake-data/blob/hipster.txt
